,year,documentary,film-noir,short,comedy,drama,romance,talkshow
90,1985,690.5168447000822,0,491.3299919807538,1150.7226507713885,1129.773294655415,726.3007943512798,220.86406460296098
91,1986,307.4124268347591,0,940.7059742288169,573.3540430846082,379.62602244626214,117.46577629382304,227.4062708472315
92,1987,495.18507202095157,0,712.9794326241134,581.9587008821171,228.69715014887282,104.49180604831898,84.04827968923418
93,1988,405.72752585521084,0,98.57366873570729,347.67469188879335,285.9587637741047,54.613616727147054,26.719264892268694
94,1989,130.67060167555218,0,671.0282317979197,404.6499704666273,278.43510445797006,112.31591591591591,63.0963144963145
95,1990,352.1960921144452,0,275.6257772752968,784.3347597505807,367.36997984183597,113.84489374262101,30.445839874411302
96,1991,164.93240489130434,0,592.3493940289684,263.89112587959346,355.3334098737084,96.67838396691586,74.54638260097647
97,1992,182.27087141986593,0,107.53964953964955,320.4294689906769,274.4097869970764,107.6811180832858,50.22571219868517
98,1993,452.84216459977455,0,385.4166193987521,177.15791966654035,316.04396235902595,291.5041159038525,33.43250242797021
99,1994,329.5080361627323,0,489.5671232876712,382.8873690589559,235.48417143936055,71.04924565898092,188.18203753351207
100,1995,312.27155273666904,0,709.3139312977099,404.77681711606095,321.52750076475985,69.17947722567288,100.49535809018568
101,1996,388.31425576519916,0,318.746284965035,311.82843721517213,210.79971343772388,116.62054113749309,121.59862879529872
102,1997,420.0920060331825,0,287.59273182957395,405.9323397355949,259.79716103768965,250.08118765947577,170.7282418734708
103,1998,216.45612046632124,0,478.8280325443787,267.7203434073902,167.180763222495,93.52833092833093,102.26874421474854
104,1999,423.1637919138954,0,813.1758777087183,448.5458683876916,238.00479694296516,325.60454043023555,269.6632778804683
105,2000,243.4475952529669,0,469.85603290676414,339.3942164954575,283.160162295562,201.68265835929387,121.26758813480355
106,2001,220.68946081037967,0,185.2127169197397,267.7653649515936,243.29852673147022,237.99800626602106,233.0236338797814
107,2002,338.68463247367913,0,136.2644944341373,270.74337756698117,217.09167650320134,207.98860132673082,236.04819418386492
108,2003,257.65652522017615,0,514.3397568929736,361.2397608236299,267.14075643342267,136.59395973154363,480.5449730354391
109,2004,444.62243116185357,0,326.05574940523394,418.29231452687696,247.66890387046288,298.2902131472828,689.7032430730478
110,2005,201.1511153753898,0,323.82174512507385,377.37885640742786,304.5139632846222,197.5898212143714,606.3570144483654
111,2006,135.2561331460067,0,130.243322906641,185.64998142644873,184.50176629811443,199.0544712928542,312.7725760600012
112,2007,38.14308887141172,0,18.510213929548012,53.04157730691144,41.598257839721256,32.31909454061252,27.398409412790063
113,2008,3.330112024616568,0,0.38455049944506103,3.4256363490062496,6.171746445451539,2.5768188225089452,0.30221171703528615
114,2009,1.9942924442833847,0,0.21789147052145613,4.702145417055329,10.360327334666371,0.5321377402302258,0.011399350130506579
115,2010,0.2819963762147916,0,0.036313400434181964,0.5129200399245869,0.8859227769502418,0.18546023060386946,0.3324129600069028
116,2011,0.01311463159467942,0,0.1023370030074773,0.5533708386713455,1.4073247815579104,0.8090350047303689,0.1266530201124216
117,2012,0.04345169393713083,0,0.025272735934448096,0.23082569405930903,0.4848803115837381,0.11726169315931136,0.24757645701096365
118,2013,0.5420136507625486,0,0.11533474521329472,0.3935816551173889,0.5292553955800787,0.5148820666417072,0.06527090533853842
119,2014,0.06303154786738983,0,0.11298512162481304,0.15962927703421628,0.15357924518229862,0.12823515161303348,0.17248834045860864
120,2015,0.1296770566556312,0,0.05665657661773945,0.2961940930575667,0.8674847448534836,0.12609389145148078,0.5334939101981457
121,2016,0.1436254056560037,0,0.22816837155440142,0.2850020881186051,0.899862214297293,2.396060296144782,0.632890713358187
122,2017,0.08339582552180977,0,0.21614435925144512,0.41033638079430307,0.8066127173360762,1.1908356971416103,0.9950048444396599
123,2018,0.809691901710134,0,0.49700598802395207,0.3756100500090378,1.263051663237977,1.490326853034388,0.7760312120098386
124,2019,2.5876760014547724,0,1.7659889186953142,2.530617398257649,1.447189752922237,2.4490403706154864,4.497023343255522
125,2020,0.1630057803468208,0,0.07092819614711034,0.06132756132756133,0.37041800643086814,0.07156673114119923,0.0
126,2021,0.0,0,0.0,0.0,0.026455026455026454,0.0,0
127,2022,0.0,0,0.0,0.0,0.0,0.0,0
